Country.or.area,ISO.code,Year,DataValue,Estimating.Methods,DataProcess
Afghanistan,4,1965,7.97,Indirect,Census
Afghanistan,4,1966,8.21,Indirect,Census
Afghanistan,4,1967,8.32,Indirect,Census
Afghanistan,4,1968,8.23,Indirect,Census
Afghanistan,4,1969,8.07,Indirect,Census
Afghanistan,4,1970,7.98,Indirect,Census
Afghanistan,4,1971,7.93,Indirect,Census
Afghanistan,4,1972,7.91,Indirect,Census
Afghanistan,4,1973,7.93,Indirect,Census
Afghanistan,4,1973.8,6.91,Direct,Survey
Afghanistan,4,1973.8,7.88,Indirect,Survey
Afghanistan,4,1974,8.02,Indirect,Census
Afghanistan,4,1975,8.45,Indirect,Census
Afghanistan,4,1976,8.65,Indirect,Census
Afghanistan,4,1977,8.89,Indirect,Census
Afghanistan,4,1978,9.07,Indirect,Census
Afghanistan,4,1979,7.88,Indirect,Census
Afghanistan,4,1979,7.08,Direct,Census
Afghanistan,4,1979,7.51,Indirect,Census
Afghanistan,4,1979.5,7.47,Direct,Census
Afghanistan,4,1979.5,7.6,Direct,Estimate
Afghanistan,4,1990,7.73,Indirect,Household listing
Afghanistan,4,1990,7.61,Indirect,Household listing
Afghanistan,4,1991,7.61,Indirect,Household listing
Afghanistan,4,1991,7.83,Indirect,Household listing
Afghanistan,4,1992,7.51,Indirect,Household listing
Afghanistan,4,1992,8,Indirect,Household listing
Afghanistan,4,1992.3,9.78,Indirect,Survey
Afghanistan,4,1993,8.1,Indirect,Household listing
Afghanistan,4,1993,7.44,Indirect,Household listing
Afghanistan,4,1993.1,8.7,Direct,DHS-NS
Afghanistan,4,1993.3,9.54,Indirect,Survey
Afghanistan,4,1994,7.4,Indirect,Household listing
Afghanistan,4,1994,8.16,Indirect,Household listing
Afghanistan,4,1994.3,9.36,Indirect,Survey
Afghanistan,4,1995,8.15,Indirect,Household listing
Afghanistan,4,1995,7.33,Indirect,Household listing
Afghanistan,4,1995.3,9.29,Indirect,Survey
Afghanistan,4,1996,7.25,Indirect,Household listing
Afghanistan,4,1996,8.05,Indirect,Household listing
Afghanistan,4,1996.3,9.24,Indirect,Survey
Afghanistan,4,1997,7.91,Indirect,Household listing
Afghanistan,4,1997,7.18,Indirect,Household listing
Afghanistan,4,1997.3,9.06,Indirect,Survey
Afghanistan,4,1998,7.12,Indirect,Household listing
Afghanistan,4,1998,7.72,Indirect,Household listing
Afghanistan,4,1998.1,8.25,Direct,DHS-NS
Afghanistan,4,1998.3,8.16,Indirect,DHS
Afghanistan,4,1998.3,8.76,Indirect,Survey
Afghanistan,4,1999,7.48,Indirect,Household listing
Afghanistan,4,1999,7.07,Indirect,Household listing
Afghanistan,4,1999.3,8.39,Indirect,Survey
Afghanistan,4,2000,7.18,Indirect,Household listing
Afghanistan,4,2000,7,Indirect,Household listing
Afghanistan,4,2000.3,7.95,Indirect,Survey
Afghanistan,4,2000.5,8.55,Indirect,MICS
Afghanistan,4,2000.5,9.33,Indirect,MICS
Afghanistan,4,2001,6.81,Indirect,Household listing
Afghanistan,4,2001,6.91,Indirect,Household listing
Afghanistan,4,2001.3,7.43,Indirect,Survey
Afghanistan,4,2002,6.36,Indirect,Household listing
Afghanistan,4,2002,6.8,Indirect,Household listing
Afghanistan,4,2002.3,6.77,Indirect,Survey
Afghanistan,4,2003,5.83,Indirect,Household listing
Afghanistan,4,2003,6.66,Indirect,Household listing
Afghanistan,4,2003.1,7.58,Direct,DHS-NS
Afghanistan,4,2003.3,7.95,Indirect,DHS
Afghanistan,4,2003.3,5.99,Indirect,Survey
Afghanistan,4,2003.5,6.32,Indirect,MICS
Afghanistan,4,2003.5,7.31,Indirect,MICS
Afghanistan,4,2004,5.11,Indirect,Household listing
Afghanistan,4,2004,6.8,Indirect,Household listing
Afghanistan,4,2004,6.36,Indirect,Household listing
Afghanistan,4,2004.3,5.15,Indirect,Survey
Afghanistan,4,2005.3,4.23,Indirect,Survey
Afghanistan,4,2005.8,8.47,Indirect,Survey
Afghanistan,4,2006.3,3.19,Indirect,Survey
Afghanistan,4,2006.8,6.92,Indirect,Survey
Afghanistan,4,2007.2,5.28,Direct,Survey
Afghanistan,4,2007.2,6.89,Indirect,Survey
Afghanistan,4,2007.5,6.3,Direct,Estimate
Afghanistan,4,2008.1,5.66,Direct,DHS-NS
Afghanistan,4,2008.3,7.27,Direct,DHS
Afghanistan,4,2008.5,6.3,Direct,Estimate
Afghanistan,4,2009.1,5.11,Direct,DHS-NS
Afghanistan,4,2009.5,6.3,Direct,Estimate
Afghanistan,4,2011.1,2.7,Direct,MICS
Afghanistan,4,2011.1,6.58,Indirect,MICS
Afghanistan,4,2011.1,3.34,Direct,Survey
Afghanistan,4,2011.1,6.22,Indirect,Survey
Afghanistan,4,2013.3,5.51,Direct,DHS
Afghanistan,4,2014.3,5.29,Direct,DHS
Albania,8,1955.5,6.78,Indirect,Estimate
Albania,8,1956.5,6.29,Indirect,Estimate
Albania,8,1957.5,5.83,Indirect,Estimate
Albania,8,1958.5,6.23,Indirect,Estimate
Albania,8,1959.5,6.23,Indirect,Estimate
Albania,8,1960.5,6.57,Indirect,Estimate
Albania,8,1960.5,6.85,Direct,VR
Albania,8,1961.5,6.21,Indirect,Estimate
Albania,8,1962.5,5.93,Indirect,Estimate
Albania,8,1963.5,5.88,Indirect,Estimate
Albania,8,1964.5,5.66,Indirect,Estimate
Albania,8,1965.5,5.28,Indirect,Estimate
Albania,8,1965.5,5.59,Direct,VR
Albania,8,1966.5,5.06,Indirect,Estimate
Albania,8,1967.5,5.23,Indirect,Estimate
Albania,8,1968.5,5.26,Indirect,Estimate
Albania,8,1969.5,5.56,Indirect,Estimate
Albania,8,1970.5,5.12,Indirect,Estimate
Albania,8,1970.5,5.16,Direct,VR
Albania,8,1971.5,5.21,Indirect,Estimate
Albania,8,1972.5,5.05,Indirect,Estimate
Albania,8,1973.5,4.6,Indirect,Estimate
Albania,8,1974.5,4.56,Indirect,Estimate
Albania,8,1975.5,4.57,Direct,VR
Albania,8,1975.5,4.33,Indirect,Estimate
Albania,8,1976.5,4.17,Indirect,Estimate
Albania,8,1977.5,4.19,Indirect,Estimate
Albania,8,1978.5,3.9,Indirect,Estimate
Albania,8,1979.5,3.86,Indirect,Estimate
Albania,8,1980.5,3.62,Indirect,Estimate
Albania,8,1981.5,3.52,Indirect,Estimate
Albania,8,1982.5,3.63,Indirect,Estimate
Albania,8,1983.5,3.33,Indirect,Estimate
Albania,8,1984.5,3.45,Indirect,Estimate
Albania,8,1985.5,3.21,Indirect,Estimate
Albania,8,1986.5,3.06,Indirect,Estimate
Albania,8,1987.5,3.13,Indirect,Estimate
Albania,8,1988.5,3.07,Indirect,Estimate
Albania,8,1989.5,2.95,Indirect,Estimate
Albania,8,1990.5,3,Indirect,Estimate
Albania,8,1991.5,2.83,Indirect,Estimate
Albania,8,1991.6,3.16,Indirect,DHS
Albania,8,1992.5,2.85,Indirect,Estimate
Albania,8,1993.5,2.59,Indirect,Estimate
Albania,8,1994.5,2.75,Indirect,Estimate
Albania,8,1995.5,2.72,Indirect,Estimate
Albania,8,1996.5,2.53,Indirect,Estimate
Albania,8,1996.6,3.06,Indirect,DHS
Albania,8,1997.5,2.26,Indirect,Estimate
Albania,8,1998.5,2.19,Indirect,Estimate
Albania,8,1999.5,2.11,Indirect,Estimate
Albania,8,2000.5,2.03,Indirect,Estimate
Albania,8,2001.3,2.6,Direct,RHS
Albania,8,2001.5,2.38,Indirect,Estimate
Albania,8,2001.6,2.42,Indirect,DHS
Albania,8,2002.5,1.9,Direct,Estimate
Albania,8,2002.5,1.95,Indirect,Estimate
Albania,8,2003.5,1.98,Indirect,Estimate
Albania,8,2003.5,2.06,Direct,Estimate
Albania,8,2004.5,1.86,Direct,Estimate
Albania,8,2004.5,1.79,Indirect,Estimate
Albania,8,2005.5,1.61,Indirect,Estimate
Albania,8,2005.5,1.79,Direct,Estimate
Albania,8,2006.5,1.67,Direct,Estimate
Albania,8,2006.5,1.38,Indirect,Estimate
Albania,8,2006.6,1.73,Direct,DHS
Albania,8,2007.5,1.62,Direct,Estimate
Albania,8,2007.5,1.33,Indirect,Estimate
Albania,8,2007.6,1.59,Direct,DHS
Albania,8,2008.5,1.58,Direct,Estimate
Albania,8,2008.5,1.44,Indirect,Estimate
Albania,8,2009.5,1.63,Direct,Estimate
Albania,8,2010.5,1.63,Direct,Estimate
Albania,8,2011.5,1.65,Direct,Estimate
